Nome da Nota,Data da Última Modificação,Data da Nota,Tags,Contagem de Palavras,Links,Caminho da Nota
Aula (49),2024-08-07 17:56:22,2024-08-06,data: 2024-08-06,139,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (49).md
Aula (5),2024-08-06 18:16:34,2024-08-06,data: 2024-08-06,170,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (5).md
Aula (50),2024-08-07 17:57:51,2024-08-06,data: 2024-08-06,138,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (50).md
Aula (51),2024-08-07 17:59:54,2024-08-06,data: 2024-08-06,191,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (51).md
Aula (52),2024-08-07 18:01:17,2024-08-06,data: 2024-08-06,157,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (52).md
Aula (53),2024-08-07 18:11:05,2024-08-06,data: 2024-08-06,110,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (53).md
Aula (54),2024-08-07 18:12:19,2024-08-06,data: 2024-08-06,241,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (54).md
Aula (55),2024-08-07 18:13:13,2024-08-06,data: 2024-08-06,205,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (55).md
Aula (56),2024-08-07 18:14:38,2024-08-06,data: 2024-08-06,403,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (56).md
Aula (57),2024-08-07 18:27:55,2024-08-06,data: 2024-08-06,76,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (57).md
Aula (58),2024-08-07 18:29:14,2024-08-06,data: 2024-08-06,317,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (58).md
Aula (59),2024-08-07 18:31:42,2024-08-06,data: 2024-08-06,482,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (59).md
Aula (6),2024-08-07 14:39:55,2024-08-06,data: 2024-08-06,159,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (6).md
Aula (60),2024-08-07 18:33:16,2024-08-06,data: 2024-08-06,213,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (60).md
Aula (61),2024-08-07 18:34:38,2024-08-06,data: 2024-08-06,151,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (61).md
Aula (62),2024-08-07 18:35:56,2024-08-06,data: 2024-08-06,260,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (62).md
Aula (63),2024-08-07 18:37:58,2024-08-06,data: 2024-08-06,380,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (63).md
Aula (64),2024-08-07 18:39:46,2024-08-06,data: 2024-08-06,169,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (64).md
Aula (65),2024-08-07 18:41:26,2024-08-06,data: 2024-08-06,380,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (65).md
Aula (66),2024-08-07 18:43:36,2024-08-06,data: 2024-08-06,154,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (66).md
Aula (67),2024-08-07 18:45:02,2024-08-06,data: 2024-08-06,260,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (67).md
Aula (68),2024-08-07 18:47:15,2024-08-06,data: 2024-08-06,333,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (68).md
Aula (69),2024-08-07 19:28:36,2024-08-06,data: 2024-08-06,396,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (69).md
Aula (7),2024-08-07 14:42:47,2024-08-06,data: 2024-08-06,115,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (7).md
Aula (70),2024-08-08 18:16:35,2024-08-06,data: 2024-08-06,327,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (70).md
Aula (71),2024-08-08 18:17:41,2024-08-06,data: 2024-08-06,253,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (71).md
Aula (72),2024-08-08 18:19:33,2024-08-06,data: 2024-08-06,235,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (72).md
Aula (73),2024-08-08 18:21:23,2024-08-06,data: 2024-08-06,225,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (73).md
Aula (74),2024-08-08 18:22:15,2024-08-06,data: 2024-08-06,161,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (74).md
Aula (75),2024-08-08 18:23:22,2024-08-06,data: 2024-08-06,226,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (75).md
Aula (76),2024-08-08 18:29:12,2024-08-06,data: 2024-08-06,242,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (76).md
Aula (77),2024-08-08 18:32:36,2024-08-06,data: 2024-08-06,224,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (77).md
Aula (78),2024-08-08 18:26:32,2024-08-06,data: 2024-08-06,340,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (78).md
Aula (79),2024-08-08 18:33:37,2024-08-06,data: 2024-08-06,400,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (79).md
Aula (8),2024-08-07 14:43:56,2024-08-06,data: 2024-08-06,259,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (8).md
Aula (80),2024-08-08 18:41:16,2024-08-06,data: 2024-08-06,300,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (80).md
Aula (81),2024-08-08 18:42:40,2024-08-06,data: 2024-08-06,213,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (81).md
Aula (82),2024-08-08 18:45:06,2024-08-06,data: 2024-08-06,259,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (82).md
Aula (83),2024-08-08 18:46:42,2024-08-06,data: 2024-08-06,152,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (83).md
Aula (84),2024-08-08 18:48:28,2024-08-06,data: 2024-08-06,406,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (84).md
Aula (85),2024-08-08 18:50:41,2024-08-06,data: 2024-08-06,218,1,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (85).md
Aula (86),2024-08-08 18:52:00,2024-08-06,data: 2024-08-06,252,1,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (86).md
Aula (87),2024-08-08 18:53:32,2024-08-06,data: 2024-08-06,423,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (87).md
Aula (88),2024-08-08 18:56:37,2024-08-06,data: 2024-08-06,483,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (88).md
Aula (89),2024-08-08 18:57:42,2024-08-06,data: 2024-08-06,354,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (89).md
Aula (9),2024-08-07 14:45:05,2024-08-06,data: 2024-08-06,95,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (9).md
Aula (90),2024-08-08 18:59:31,2024-08-06,data: 2024-08-06,159,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (90).md
Aula (91),2024-08-08 19:17:32,2024-08-06,data: 2024-08-06,293,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (91).md
Aula (92),2024-08-08 19:18:51,2024-08-06,data: 2024-08-06,198,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (92).md
Aula (93),2024-08-08 19:20:03,2024-08-06,data: 2024-08-06,418,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (93).md
Aula (94),2024-08-08 19:20:54,2024-08-06,data: 2024-08-06,345,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (94).md
Aula (95),2024-08-08 19:22:01,2024-08-06,data: 2024-08-06,476,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (95).md
Aula (96),2024-08-08 19:23:07,2024-08-06,data: 2024-08-06,153,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (96).md
Aula (97),2024-08-08 19:24:37,2024-08-06,data: 2024-08-06,99,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (97).md
Aula (98),2024-08-08 19:26:25,2024-08-06,data: 2024-08-06,382,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (98).md
Aula (99),2024-08-08 19:28:43,2024-08-06,data: 2024-08-06,297,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (99).md
Python Code for Finding the Successor of an Integer,2024-08-09 23:08:40,2024-08-06,data: 2024-08-06,170,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Python Code for Finding the Successor of an Integer.md
Dash,2025-05-21 18:41:31,2025-05-21,Comando,170,0,01 - Progetos\zData Analyst\Python\Biblioteca\Dash\Dash.md
ipython,2025-02-13 21:12:03,2025-02-13,Comando,94,0,01 - Progetos\zData Analyst\Python\Biblioteca\ipython\ipython.md
",dump",2025-01-31 18:59:05,2025-01-31,Comando,31,0,"01 - Progetos\zData Analyst\Python\Biblioteca\json\Comando\,dump.md"
",loads",2025-01-31 18:49:23,2025-01-31,Comando,42,0,"01 - Progetos\zData Analyst\Python\Biblioteca\json\Comando\,loads.md"
",'hist'",2024-12-20 19:56:59,2024-12-20,data: 2024-12-20,69,3,"01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\,'hist'.md"
",bar",2024-12-29 23:11:10,2024-12-29,Comando,117,0,"01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\,bar.md"
",legend",2024-12-18 21:58:37,2024-12-18,Comando,43,1,"01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\,legend.md"
",plot",2024-12-17 22:55:08,2024-12-14,Gráfico,97,8,"01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\,plot.md"
",scatter_matrix",2024-12-20 20:57:34,2024-12-20,Comando,93,1,"01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\,scatter_matrix.md"
",show",2024-12-14 22:27:08,2024-12-14,Gráfico,17,0,"01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\,show.md"
",title=",2024-12-17 22:20:17,2024-12-14,Gráfico,24,1,"01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\,title=.md"
",xlabel= or ,ylabel=",2024-12-17 22:51:42,2024-12-14,Gráfico,38,1,"01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\,xlabel= or ,ylabel=.md"
",xlim= e ,ylim=",2024-12-17 22:53:03,2024-12-14,Gráfico,61,1,"01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\,xlim= e ,ylim=.md"
alpha=,2024-12-17 23:32:40,2024-12-17,Comando,30,1,01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\alpha=.md
bind=,2024-12-20 19:33:10,2024-12-20,Comando,6,0,01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\bind=.md
figsize=,2024-12-17 22:59:43,2024-12-14,Gráfico,64,1,01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\figsize=.md
grid=,2024-12-14 21:52:04,2024-12-14,Gráfico,15,0,01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\grid=.md
kind=,2024-12-17 23:35:50,2024-12-17,Gráfico,144,9,01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\kind=.md
legend=,2024-12-17 23:02:38,2024-12-14,Gráfico,78,2,01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\legend=.md
Marcador,2024-12-18 19:29:32,2024-12-14,Gráfico,549,1,01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\Marcador.md
rot=,2024-12-18 21:30:04,2024-12-18,data: 2024-12-18,36,1,01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\rot=.md
savefig(),2024-12-14 22:26:31,2024-12-14,Gráfico,9,0,01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\savefig().md
x= e y=,2024-12-17 22:47:21,2024-12-14,Gráfico,51,0,01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\x= e y=.md
array.shape,2024-08-19 20:08:18,2024-08-19,data: 2024-08-19,43,0,01 - Progetos\zData Analyst\Python\Biblioteca\Numpy\array.shape.md
",array_equal",2024-12-21 20:57:04,2024-12-21,Comando,68,0,"01 - Progetos\zData Analyst\Python\Biblioteca\Numpy\Comandos\,array_equal.md"
",cov",2025-01-03 20:41:40,2025-01-03,data: 2025-01-03,17,2,"01 - Progetos\zData Analyst\Python\Biblioteca\Numpy\Comandos\,cov.md"
",logical_operador",2025-03-23 20:42:24,2025-03-23,Comando,35,0,"01 - Progetos\zData Analyst\Python\Biblioteca\Numpy\Comandos\,logical_operador.md"
",sqrt",2025-01-25 23:30:28,2025-01-03,Conceito,25,2,"01 - Progetos\zData Analyst\Python\Biblioteca\Numpy\Comandos\,sqrt.md"
",std",2025-01-03 20:56:12,2025-01-03,Comando,14,1,"01 - Progetos\zData Analyst\Python\Biblioteca\Numpy\Comandos\,std.md"
",var",2025-01-03 20:40:52,2025-01-03,Comando,16,1,"01 - Progetos\zData Analyst\Python\Biblioteca\Numpy\Comandos\,var.md"
Comandos,2024-08-21 22:08:19,2024-08-19,Programação,236,0,01 - Progetos\zData Analyst\Python\Biblioteca\Numpy\Comandos\Comandos.md
",getcwd",2025-02-03 22:59:16,2025-02-03,data: 2025-02-03,36,0,"01 - Progetos\zData Analyst\Python\Biblioteca\OS\,getcwd.md"
01,2024-12-09 00:25:52,2024-12-08,data: 2024-12-08,406,0,01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\01.md
Agrupamento,2024-11-24 19:36:54,2024-11-24,Conceito,11,1,01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Agrupamento.md
DataFrame X Series,2024-12-10 20:50:36,2024-12-10,Conceito,34,1,01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\DataFrame X Series.md
DataFrame,2024-11-20 18:02:36,2024-08-21,Projetos,287,0,01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\DataFrame.md
Deixando o groupby apresentavel,2025-03-23 22:10:20,2025-03-23,Comando,11,0,01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Deixando o groupby apresentavel.md
Duplicatas,2025-03-18 21:21:08,2024-11-24,data: 2024-11-24,92,9,01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Duplicatas.md
Filtragem condicional,2024-11-22 22:34:54,2024-11-22,data: 2024-11-22,61,1,01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Filtragem condicional.md
Indexação Booleana,2024-11-22 22:34:06,2024-11-18,Pandas,102,2,01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Indexação Booleana.md
Máscara booleana,2024-11-22 23:43:54,2024-11-22,Conceito,264,16,01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Máscara booleana.md
NaN nulo,2024-12-21 19:34:06,2024-12-21,data: 2024-12-21,19,0,01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\NaN nulo.md
Ordenar,2024-11-24 19:39:43,2024-11-24,Conceito,48,1,01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Ordenar.md
Pré-processamento de dados,2024-11-24 16:34:46,2024-11-20,Conceito,76,3,01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Pré-processamento de dados.md
Split Apply Combine,2024-12-28 19:53:45,2024-12-28,Conceito,19,1,01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Split Apply Combine.md
types,2024-11-14 22:24:11,2024-11-14,Comando,95,4,01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\types.md
Valores ausentes,2025-02-17 20:30:20,2024-11-20,Conceito,91,3,01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Valores ausentes.md
Window functions,2024-12-26 21:17:01,,,0,0,01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Window functions.md
",agg",2024-12-28 20:37:09,2024-12-28,Conceito,94,1,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,agg.md"
",apply",2024-12-28 16:07:52,2024-12-27,Comando,140,3,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,apply.md"
",astype",2024-12-22 00:10:04,2024-12-21,Comando,70,0,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,astype.md"
",columns",2024-12-28 22:59:59,2024-12-28,Comando,51,0,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,columns.md"
",concat",2024-12-28 23:23:37,2024-12-28,data: 2024-12-28,80,1,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,concat.md"
",corr",2024-12-18 20:05:39,2024-12-18,Comando,69,0,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,corr.md"
",crosstab",2025-04-10 09:54:29,2025-04-10,Comando,83,0,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,crosstab.md"
",describe",2024-12-05 19:16:43,2024-12-05,data: 2024-12-05,80,2,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,describe.md"
",drop",2024-12-29 19:47:45,2024-12-29,data: 2024-12-29,117,0,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,drop.md"
",dropna",2025-05-29 18:37:25,2024-11-21,Comando,89,5,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,dropna.md"
",drop_duplicates",2024-11-25 17:24:09,2024-11-24,Comando,52,1,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,drop_duplicates.md"
",dt",2024-12-27 18:37:26,2024-12-27,Comando,113,1,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,dt.md"
",dtypes",2024-12-22 00:09:57,2024-12-21,Comando,50,0,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,dtypes.md"
",duplicated",2024-12-06 17:09:20,2024-11-22,Comando,45,0,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,duplicated.md"
",fillna",2024-12-14 20:08:53,2024-11-20,Comando,32,1,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,fillna.md"
",groupby",2025-03-25 10:02:14,2024-11-24,Comando,72,4,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,groupby.md"
",head",2025-03-06 21:18:38,2024-11-22,Comando,21,1,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,head.md"
",iloc",2024-12-13 20:23:39,2024-12-13,Comando,184,0,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,iloc.md"
",index",2024-12-22 00:02:34,2024-12-12,Comando,73,0,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,index.md"
",info",2025-03-06 21:18:38,2024-11-14,Comando,94,3,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,info.md"
",isin",2024-12-13 23:13:58,2024-12-13,data: 2024-12-13,66,0,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,isin.md"
",isna ou isnull",2024-11-21 23:41:46,2024-11-20,Comando,79,1,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,isna ou isnull.md"
",loc",2024-11-18 00:24:05,2024-11-14,Comando,273,3,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,loc.md"
",merge",2025-03-24 09:52:47,2024-12-28,Comando,123,0,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,merge.md"
",nan",2024-12-27 21:09:19,,,0,0,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,nan.md"
",nunique",2024-11-23 00:23:30,2024-11-23,Comando,41,1,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,nunique.md"
",pivot_table",2024-12-28 20:46:23,2024-12-28,Conceito,141,0,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,pivot_table.md"
",query",2024-12-13 23:19:36,2024-12-13,data: 2024-12-13,55,0,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,query.md"
",read_csv",2024-12-05 23:04:53,2024-11-29,Comando,117,3,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,read_csv.md"
",read_excel",2024-11-29 20:54:40,2024-11-29,Comando,36,1,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,read_excel.md"
",rename",2024-11-25 16:06:21,2024-11-25,Comando,68,1,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,rename.md"
",reset_index",2024-11-24 16:44:48,2024-11-24,Comando,65,0,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,reset_index.md"
",sample",2024-11-30 00:48:46,2024-11-30,Comando,33,1,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,sample.md"
",Series",2024-12-12 23:55:40,2024-12-12,Comando,30,0,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,Series.md"
",set_index",2024-12-13 21:19:14,2024-12-13,Comando,6,0,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,set_index.md"
",shape",2024-11-14 23:56:09,2024-11-14,Comando,14,0,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,shape.md"
",sort_index",2024-12-05 19:56:37,2024-12-05,Comando,47,0,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,sort_index.md"
",sort_values",2024-11-24 17:59:21,2024-11-24,Conceito,75,1,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,sort_values.md"
",tail",2024-11-29 21:53:03,2024-11-29,data: 2024-11-29,26,0,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,tail.md"
",to_datetime",2024-12-27 16:46:02,2024-12-26,Comando,270,0,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,to_datetime.md"
",to_frame()",2025-03-23 21:32:14,2025-03-23,data: 2025-03-23,16,1,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,to_frame().md"
",to_numeric",2024-12-22 00:10:00,2024-12-21,Comando,67,0,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,to_numeric.md"
",tz_convert() e ,tz_localize()",2024-12-27 18:07:21,2024-12-27,Comando,212,0,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,tz_convert() e ,tz_localize().md"
",unique",2025-03-10 19:37:28,2024-11-23,Comando,38,2,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,unique.md"
",value_count or nunique or duplicates",2024-12-14 20:42:15,,,0,1,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,value_count or nunique or duplicates.md"
",value_counts",2024-12-22 00:09:53,2024-12-22,Comando,40,0,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,value_counts.md"
",where",2024-12-14 18:30:06,2024-12-14,data: 2024-12-14,65,0,"01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\,where.md"
axis=,2024-11-22 00:48:26,2024-11-22,data: 2024-11-22,383,18,01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\axis=.md
Comandos,2025-01-31 18:43:09,2024-08-21,Programação,1197,12,01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\Comandos.md
filtragem simples,2024-12-14 20:22:27,2024-12-14,data: 2024-12-14,34,0,01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\filtragem simples.md
index=,2024-12-13 00:05:52,2024-12-13,Comando,74,0,01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\index=.md
inplace=,2025-02-17 20:30:20,2024-11-21,Comando,315,25,01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\inplace=.md
Normalizar nomes de colunas,2024-11-20 20:16:35,2024-11-20,Comando,35,1,01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\Normalizar nomes de colunas.md
Sem título,2024-12-27 21:10:33,,,0,0,01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\Sem título.md
subset=,2024-11-22 00:55:42,2024-11-22,data: 2024-11-22,87,4,01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\subset=.md
~,2024-12-05 20:32:21,2024-12-05,data: 2024-12-05,24,0,01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Comandos\~.md
Pytest,2025-02-03 21:25:28,2025-02-03,data: 2025-02-03,267,0,01 - Progetos\zData Analyst\Python\Biblioteca\Pyteste\Pytest.md
regex,2025-02-17 19:15:51,2025-02-17,Comando,279,0,01 - Progetos\zData Analyst\Python\Biblioteca\re\regex.md
",findall",2025-02-17 20:31:56,2025-02-17,Comando,22,0,"01 - Progetos\zData Analyst\Python\Biblioteca\re\Comandos\,findall.md"
",search",2025-02-17 20:31:45,2025-02-17,Comando,28,0,"01 - Progetos\zData Analyst\Python\Biblioteca\re\Comandos\,search.md"
",split",2025-02-17 20:46:55,2025-02-17,Comando,47,0,"01 - Progetos\zData Analyst\Python\Biblioteca\re\Comandos\,split.md"
",sub",2025-02-17 20:48:40,2025-02-17,Comando,43,0,"01 - Progetos\zData Analyst\Python\Biblioteca\re\Comandos\,sub.md"
",get",2025-01-31 19:48:54,2025-01-31,Comando,88,0,"01 - Progetos\zData Analyst\Python\Biblioteca\resquests\Comando\,get.md"
",status_code",2025-01-31 20:16:00,2025-01-31,Comando,42,0,"01 - Progetos\zData Analyst\Python\Biblioteca\resquests\Comando\,status_code.md"
",text",2025-01-31 18:48:17,2025-01-31,Comando,18,0,"01 - Progetos\zData Analyst\Python\Biblioteca\resquests\Comando\,text.md"
",cdf",2025-01-07 23:14:32,2025-01-07,Comando,52,0,"01 - Progetos\zData Analyst\Python\Biblioteca\SciPy\Comando\,cdf.md"
",norm",2025-01-07 23:06:23,2025-01-07,Comando,29,1,"01 - Progetos\zData Analyst\Python\Biblioteca\SciPy\Comando\,norm.md"
",ppf",2025-01-07 23:11:23,2025-01-07,Comando,65,0,"01 - Progetos\zData Analyst\Python\Biblioteca\SciPy\Comando\,ppf.md"
",pvalue",2025-01-09 00:04:08,2025-01-08,Comando,220,1,"01 - Progetos\zData Analyst\Python\Biblioteca\SciPy\Comando\,pvalue.md"
",ttest_1samp",2025-01-09 00:03:50,2025-01-08,Comando,77,1,"01 - Progetos\zData Analyst\Python\Biblioteca\SciPy\Comando\,ttest_1samp.md"
",ttest_ind",2025-01-09 19:49:30,2025-01-09,Comando,58,0,"01 - Progetos\zData Analyst\Python\Biblioteca\SciPy\Comando\,ttest_ind.md"
",ttest_rel",2025-01-09 19:55:55,2025-01-09,Comando,78,0,"01 - Progetos\zData Analyst\Python\Biblioteca\SciPy\Comando\,ttest_rel.md"
",jointplot()",2025-04-12 10:37:39,2025-04-12,Comando,36,2,"01 - Progetos\zData Analyst\Python\Biblioteca\Seaborn\Comandos\,jointplot().md"
",back & ,forward",2025-02-10 19:12:09,2025-02-10,Comando,12,0,"01 - Progetos\zData Analyst\Python\Biblioteca\Selenium4\Codigo\,back & ,forward.md"
